MOF,uptake_ads,uptake_des,heat_ads,heat_des,LISD,LFSD,LISFS,Unit_cell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surface_area_A2,Number_of_pockets,AV_A3,AV_Volume_fraction,AV_cm3_per_g,NAV_A3,NAV_Volume_fraction,NAV_cm3_per_g,Channel_volume,Number_of_pockets.1,oms_value,Pocket_volume_A3,Pocket_surface_area_A2,No_of_Channel,Di,Df,Dif,H,Yb,Ir,K,V,Te,Mn,Co,Sr,Bi,Cd,Mg,P,Be,Cl,As,F,Pb,Pr,Mo,I,Er,Fe,Pu,Y,W,Gd,Sn,Se,Cs,B,Ge,C,Si,Ag,Pt,S,Th,Ca,Dy,Au,Rb,Zr,Ho,Br,Sc,Na,U,Pd,Nd,Ni,Np,N,Nb,Ru,Li,Lu,Zn,Hg,Hf,Sb,In,Eu,Ga,Tb,Tm,Sm,O,La,Cr,Ti,Ba,Rh,Ce,Cu,Al,Re
BEWVOQ_clean,0.4110757634834,0.3408827750408,-29.40439,-26.37699,10.23635,8.28637,9.89144,3434.1,0.717556,815.935,2375.98,3311.21,0.0,0.0,0.0,1,815.935,0,1146.99,0.334,0.465469,0.0,0.0,0.0,1146.99,0,0,0.0,0.0,1,10.2364,8.28637,10.2364,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,4,0,0,0,0,0,0,0
BEWCUD_clean,0.7327539801856,0.6537968345728,-33.48564,-30.02608,11.30986,9.17089,11.30986,27293.5,0.476468,5775.48,2116.07,4441.15,0.0,0.0,0.0,1,5775.48,0,11899.9,0.436,0.915066,0.0,0.0,0.0,11899.9,0,24,0.0,0.0,1,11.3099,9.17089,11.3099,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
MANLOD_manual,0.4098380176384,0.3084522663635,-39.54396,-37.57401,8.55642,5.36069,8.36178,17526.5,0.706783,2998.36,1710.75,2420.48,86.6235,49.4242,69.9284,1,2998.36,8,2611.45,0.149,0.210814,3.50531,0.0002,0.000282972,2611.45,8,0,0.0,10.414,1,8.55642,5.36069,8.46424,408,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAHLEC_clean,0.6676735161399,0.5866528361030999,-34.10888,-31.29742,10.91046,8.04219,9.42211,12374.9,0.504189,3330.97,2691.7,5338.68,0.0,0.0,0.0,1,3330.97,0,4249.55,0.3434,0.681093,0.0,0.0,0.0,4249.55,0,12,0.0,0.0,1,10.9105,8.04219,9.42211,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,12,0,0
TIRHIL_clean,0.3675568502156,0.2998838478416,-28.57899,-25.03962,9.31104,7.31301,9.26469,3713.79,0.758181,880.489,2370.86,3127.04,0.0,0.0,0.0,1,880.489,0,1336.97,0.36,0.47482,0.0,0.0,0.0,1336.97,0,0,0.0,0.0,1,9.31104,7.31301,9.31104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,4,0,0,0,0,0,0,0
TOFTIT_clean,0.5403367141166,0.4699871130961,-30.08411,-26.73468,20.17956,5.8953,20.17956,22271.0,0.598403,4811.17,2160.28,3610.07,0.0,0.0,0.0,1,4811.17,0,7514.25,0.3374,0.563834,0.0,0.0,0.0,7514.25,0,8,0.0,0.0,1,20.1796,5.8953,20.1796,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,24,0,0
OMIPEH_clean,0.4597039084264,0.3975708181557,-24.55073,-23.33008,21.73649,7.65475,21.73649,87967.9,0.65885,17717.2,2014.06,3056.93,0.0,0.0,0.0,1,17717.2,0,37034.5,0.421,0.638993,0.0,0.0,0.0,37034.5,0,192,0.0,0.0,1,21.7365,7.65475,21.7365,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,192,0,0
c6cc00589f_c6cc00589f3_clean,0.4944826092326,0.4205621147374,-31.68913,-28.99326,8.98285,7.77843,8.85668,4110.07,0.61411,981.583,2388.24,3888.95,0.0,0.0,0.0,1,981.583,0,1450.03,0.3528,0.57449,0.0,0.0,0.0,1450.03,0,8,0.0,0.0,1,8.98285,7.77843,8.98285,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIDNEX_clean,0.7247427443384,0.652030273628,-30.0827,-29.63951,16.11278,11.12083,16.11278,12820.9,0.488773,2380.86,1857.02,3799.35,0.0,0.0,0.0,1,2380.86,0,6228.38,0.4858,0.993917,0.0,0.0,0.0,6228.38,0,0,0.0,0.0,1,16.1128,11.1208,16.1128,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
OVEDAW_clean,0.4775764205264,0.4107457493967,-28.71005,-25.35079,14.62745,11.63509,13.91594,41784.9,0.650011,8004.18,1915.57,2946.98,0.0,0.0,0.0,1,8004.18,0,17750.2,0.4248,0.653527,0.0,0.0,0.0,17750.2,0,16,0.0,0.0,1,14.6274,11.6351,14.6274,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,56,0,0
UMODEH16_clean,0.6874637070837,0.6152962100415,-30.66168,-29.18439,13.29871,5.75028,13.29858,26676.7,0.473838,6486.24,2431.42,5131.34,0.0,0.0,0.0,1,6486.24,0,9608.96,0.3602,0.760176,0.0,0.0,0.0,9608.96,0,18,0.0,0.0,1,13.2987,5.75028,13.2987,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,18,0,0
JOJKUQ_clean,0.5713162481745,0.5002168426251,-30.78065,-28.09601,18.6401,8.76045,18.6401,29566.7,0.609363,5326.32,1801.46,2956.3,0.0,0.0,0.0,1,5326.32,0,13754.4,0.4652,0.76342,0.0,0.0,0.0,13754.4,0,4,0.0,0.0,1,18.6401,8.76045,18.6401,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,8,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,32,0,0
